benchmark,n,time,cpu,iterations
double_exponential_lcdf,8,431,902,1625822
double_exponential_lcdf,16,724,1542,967690
double_exponential_lcdf,32,1296,2805,540185
double_exponential_lcdf,64,2433,5360,287641
double_exponential_lcdf,128,4743,10495,147644
double_exponential_lcdf,256,9474,20979,73900
double_exponential_lcdf,512,18784,41037,37248
double_exponential_lcdf,1024,37280,81985,18727
double_exponential_lccdf,2,209,419,3335982
double_exponential_lccdf,4,289,601,2431981
double_exponential_lccdf,8,432,906,1621577
double_exponential_lccdf,16,717,1536,976934
double_exponential_lccdf,32,1294,2806,542337
double_exponential_lccdf,64,2428,5353,288483
double_exponential_lccdf,128,4731,10485,148109
double_exponential_lccdf,256,9465,20951,74120
double_exponential_lccdf,512,18749,41150,37377
double_exponential_lccdf,1024,37142,81978,18840
double_exponential_lpdf_data,2,187,388,3748049
double_exponential_lpdf_data,4,252,544,2780674
double_exponential_lpdf_data,8,388,831,1808296
double_exponential_lpdf_data,16,643,1412,1089675
double_exponential_lpdf_data,32,1168,2567,603148
double_exponential_lpdf_data,64,2210,4919,317653
double_exponential_lpdf_data,128,4247,9531,164797
double_exponential_lpdf_data,256,8420,18948,83297
double_exponential_lpdf_data,512,16637,37389,42110
double_exponential_lpdf_data,1024,32686,73733,21401
double_exponential_cdf_data,2,187,393,3728098
double_exponential_cdf_data,4,235,530,2976615
double_exponential_cdf_data,8,353,796,1979343
double_exponential_cdf_data,16,598,1372,1171264
double_exponential_cdf_data,32,1058,2462,661140
double_exponential_cdf_data,64,1964,4669,356510
double_exponential_cdf_data,128,3725,9016,187982
double_exponential_cdf_data,256,7406,18014,94348
double_exponential_cdf_data,512,14598,35402,47981
double_exponential_cdf_data,1024,29420,70602,23797
double_exponential_lcdf_data,2,183,385,3828219
double_exponential_lcdf_data,4,258,549,2713245
double_exponential_lcdf_data,8,392,835,1788727
double_exponential_lcdf_data,16,670,1436,1043993
double_exponential_lcdf_data,32,1223,2618,572443
double_exponential_lcdf_data,64,2336,5033,299720
double_exponential_lcdf_data,128,4520,9793,154972
double_exponential_lcdf_data,256,8998,19504,77809
double_exponential_lcdf_data,512,17861,38593,39261
double_exponential_lcdf_data,1024,35226,76297,19879
double_exponential_lccdf_data,2,182,384,3850417
double_exponential_lccdf_data,4,257,547,2730454
double_exponential_lccdf_data,8,395,837,1773156
double_exponential_lccdf_data,16,668,1437,1047145
double_exponential_lccdf_data,32,1222,2616,571384
double_exponential_lccdf_data,64,2324,5021,301238
double_exponential_lccdf_data,128,4496,9768,155779
double_exponential_lccdf_data,256,8967,19520,77975
double_exponential_lccdf_data,512,17802,38567,39345
double_exponential_lccdf_data,1024,35101,76271,19942
exp_mod_normal_lpdf,2,352,642,2003244
exp_mod_normal_lpdf,4,541,982,1270813
exp_mod_normal_lpdf,8,904,1604,773464
exp_mod_normal_lpdf,16,1660,2916,421385
exp_mod_normal_lpdf,32,3161,5476,221349
exp_mod_normal_lpdf,64,6112,10633,114572
exp_mod_normal_lpdf,128,12002,20802,58409
exp_mod_normal_lpdf,256,23984,41502,29198
exp_mod_normal_lpdf,512,47466,81821,14740
exp_mod_normal_lpdf,1024,95352,163428,7348
exp_mod_normal_cdf,2,353,644,1985946
exp_mod_normal_cdf,4,550,993,1243334
exp_mod_normal_cdf,8,923,1618,758717
exp_mod_normal_cdf,16,1697,2945,411951
exp_mod_normal_cdf,32,3249,5532,215354
exp_mod_normal_cdf,64,6232,10701,112263
exp_mod_normal_cdf,128,12179,20932,57589
exp_mod_normal_cdf,256,24276,41781,28831
exp_mod_normal_cdf,512,48537,82793,14436
exp_mod_normal_cdf,1024,97367,165433,7183
exp_mod_normal_lcdf,2,389,683,1802071
exp_mod_normal_lcdf,4,634,1079,1108891
exp_mod_normal_lcdf,8,1093,1792,640694
exp_mod_normal_lcdf,16,2013,3264,347655
exp_mod_normal_lcdf,32,3858,6166,181133
exp_mod_normal_lcdf,64,7484,11985,93481
exp_mod_normal_lcdf,128,14719,23522,47544
exp_mod_normal_lcdf,256,29334,46755,23846
exp_mod_normal_lcdf,512,58006,92284,12085
exp_mod_normal_lcdf,1024,116652,184770,5997
exp_mod_normal_lccdf,2,386,679,1814764
exp_mod_normal_lccdf,4,624,1068,1110330
exp_mod_normal_lccdf,8,1062,1759,659532
exp_mod_normal_lccdf,16,1970,3217,354898
exp_mod_normal_lccdf,32,3789,6091,184786
exp_mod_normal_lccdf,64,7349,11853,95376
exp_mod_normal_lccdf,128,14458,23263,48487
exp_mod_normal_lccdf,256,28800,46281,24244
exp_mod_normal_lccdf,512,57041,91332,12281
exp_mod_normal_lccdf,1024,114474,182485,6110
exp_mod_normal_lpdf_data,2,318,599,2205165
exp_mod_normal_lpdf_data,4,503,931,1388804
