benchmark,n,time,cpu,iterations
double_exponential_cdf_data,4,247,544,2834821
double_exponential_cdf_data,8,363,807,1927437
double_exponential_cdf_data,16,624,1399,1119415
double_exponential_cdf_data,32,1087,2509,644499
double_exponential_cdf_data,64,2008,4721,348490
double_exponential_cdf_data,128,3880,9204,180838
double_exponential_cdf_data,256,7692,18405,90939
double_exponential_cdf_data,512,15127,36087,46312
double_exponential_cdf_data,1024,30230,71701,23177
double_exponential_lcdf_data,2,177,377,3956744
double_exponential_lcdf_data,4,253,545,2764772
double_exponential_lcdf_data,8,395,838,1775437
double_exponential_lcdf_data,16,680,1443,1029004
double_exponential_lcdf_data,32,1228,2637,569535
double_exponential_lcdf_data,64,2362,5064,296545
double_exponential_lcdf_data,128,4611,9889,151907
double_exponential_lcdf_data,256,9215,19904,76027
double_exponential_lcdf_data,512,18291,39213,38269
double_exponential_lcdf_data,1024,36056,77388,19412
double_exponential_lccdf_data,2,176,378,3974418
double_exponential_lccdf_data,4,251,544,2790384
double_exponential_lccdf_data,8,395,839,1778057
double_exponential_lccdf_data,16,678,1441,1030334
double_exponential_lccdf_data,32,1229,2639,569626
double_exponential_lccdf_data,64,2343,5043,298609
double_exponential_lccdf_data,128,4579,9858,152852
double_exponential_lccdf_data,256,9148,19828,76550
double_exponential_lccdf_data,512,18139,39074,38626
double_exponential_lccdf_data,1024,35709,77032,19585
exp_mod_normal_lpdf,2,348,647,2016906
exp_mod_normal_lpdf,4,547,998,1279922
exp_mod_normal_lpdf,8,933,1645,749575
exp_mod_normal_lpdf,16,1708,2990,409733
exp_mod_normal_lpdf,32,3235,5581,216462
exp_mod_normal_lpdf,64,6299,10868,111248
exp_mod_normal_lpdf,128,12393,21293,56518
exp_mod_normal_lpdf,256,24866,42403,28096
exp_mod_normal_lpdf,512,49109,83810,14237
exp_mod_normal_lpdf,1024,98471,167827,7098
exp_mod_normal_cdf,2,363,663,1927502
exp_mod_normal_cdf,4,571,1023,1223724
exp_mod_normal_cdf,8,958,1666,731413
exp_mod_normal_cdf,16,1735,3000,403297
exp_mod_normal_cdf,32,3294,5614,212569
exp_mod_normal_cdf,64,6356,10880,109946
exp_mod_normal_cdf,128,12579,21445,56021
exp_mod_normal_cdf,256,24970,42534,28051
exp_mod_normal_cdf,512,49650,84408,14119
exp_mod_normal_cdf,1024,99284,168155,7046
exp_mod_normal_lcdf,2,391,693,1794341
exp_mod_normal_lcdf,4,628,1083,1113287
exp_mod_normal_lcdf,8,1089,1802,643465
exp_mod_normal_lcdf,16,2024,3310,345492
exp_mod_normal_lcdf,32,3886,6231,180135
exp_mod_normal_lcdf,64,7588,12140,92265
exp_mod_normal_lcdf,128,14992,23893,46738
exp_mod_normal_lcdf,256,29972,47511,23325
exp_mod_normal_lcdf,512,59223,93933,11792
exp_mod_normal_lcdf,1024,118848,187741,5890
exp_mod_normal_lccdf,2,387,688,1808101
exp_mod_normal_lccdf,4,621,1068,1128880
exp_mod_normal_lccdf,8,1074,1784,650459
exp_mod_normal_lccdf,16,2003,3284,350109
exp_mod_normal_lccdf,32,3827,6161,182867
exp_mod_normal_lccdf,64,7480,12036,93620
exp_mod_normal_lccdf,128,14777,23674,47336
exp_mod_normal_lccdf,256,29577,47147,23658
exp_mod_normal_lccdf,512,58384,93110,12002
exp_mod_normal_lccdf,1024,116913,185738,5969
exp_mod_normal_lpdf_data,2,316,604,2218793
exp_mod_normal_lpdf_data,4,515,949,1366192
exp_mod_normal_lpdf_data,8,886,1561,790451
exp_mod_normal_lpdf_data,16,1653,2863,423496
exp_mod_normal_lpdf_data,32,3163,5419,221116
exp_mod_normal_lpdf_data,64,6166,10478,113761
exp_mod_normal_lpdf_data,128,12164,20566,57520
exp_mod_normal_lpdf_data,256,24321,40740,28796
exp_mod_normal_lpdf_data,512,48364,81171,14455
exp_mod_normal_lpdf_data,1024,96440,161152,7256
exp_mod_normal_cdf_data,2,316,606,2213606
exp_mod_normal_cdf_data,4,512,949,1367610
exp_mod_normal_cdf_data,8,880,1557,787798
exp_mod_normal_cdf_data,16,1629,2827,430024
exp_mod_normal_cdf_data,32,3143,5379,222625
exp_mod_normal_cdf_data,64,6073,10345,115109
exp_mod_normal_cdf_data,128,11929,20318,58729
exp_mod_normal_cdf_data,256,23783,40110,29447
exp_mod_normal_cdf_data,512,47802,80531,14640
exp_mod_normal_cdf_data,1024,94902,159418,7371
exp_mod_normal_lcdf_data,2,359,650,1948182
exp_mod_normal_lcdf_data,4,591,1031,1181767
exp_mod_normal_lcdf_data,8,1046,1723,668990
exp_mod_normal_lcdf_data,16,1973,3176,354897
exp_mod_normal_lcdf_data,32,3809,6030,183628
exp_mod_normal_lcdf_data,64,7448,11737,93981
exp_mod_normal_lcdf_data,128,14735,23123,47489
exp_mod_normal_lcdf_data,256,29432,46029,23781
exp_mod_normal_lcdf_data,512,58517,91271,11966
exp_mod_normal_lcdf_data,1024,116639,181276,6002
exp_mod_normal_lccdf_data,2,356,643,1966317
exp_mod_normal_lccdf_data,4,584,1018,1198197
exp_mod_normal_lccdf_data,8,1033,1707,680103
exp_mod_normal_lccdf_data,16,1945,3143,360224
exp_mod_normal_lccdf_data,32,3764,6006,185968
exp_mod_normal_lccdf_data,64,7343,11625,95240
exp_mod_normal_lccdf_data,128,14517,22902,48217
exp_mod_normal_lccdf_data,256,28972,45434,24167
exp_mod_normal_lccdf_data,512,57534,90297,12161
exp_mod_normal_lccdf_data,1024,114722,179335,6099
exponential_lpdf,2,182,359,3854524
exponential_lpdf,4,254,524,2755235
exponential_lpdf,8,391,836,1786809
exponential_lpdf,16,666,1470,1047333
exponential_lpdf,32,1183,2703,592300
exponential_lpdf,64,2255,5225,309052
exponential_lpdf,128,4396,10261,158872
exponential_lpdf,256,8719,20433,80308
exponential_lpdf,512,17298,40385,40503
exponential_lpdf,1024,34101,79918,20517
exponential_cdf,2,148,325,4744857
exponential_cdf,4,199,467,3520010
exponential_cdf,8,294,735,2381185
exponential_cdf,16,479,1278,1462125
exponential_cdf,32,808,2320,868606
exponential_cdf,64,1485,4433,471528
exponential_cdf,128,2874,8734,243586
exponential_cdf,256,5736,17518,122091
exponential_cdf,512,11315,34485,61894
exponential_cdf,1024,22110,68118,31679
exponential_lcdf,2,190,368,3683342
exponential_lcdf,4,302,573,2317737
exponential_lcdf,8,501,945,1395534
exponential_lcdf,16,924,1725,757965
exponential_lcdf,32,1728,3248,404732
exponential_lcdf,64,3389,6357,206589
exponential_lcdf,128,6727,12597,104175
exponential_lcdf,256,13436,25199,52149
exponential_lcdf,512,26697,49804,26221
exponential_lcdf,1024,52881,98720,13207
exponential_lccdf,2,114,290,6184319
exponential_lccdf,4,131,402,5336675
exponential_lccdf,8,170,612,4105696
exponential_lccdf,16,259,1058,2703845
exponential_lccdf,32,375,1883,1868520
exponential_lccdf,64,644,3579,1084855
exponential_lccdf,128,1168,7007,600198
exponential_lccdf,256,2261,14008,309926
exponential_lccdf,512,4474,27622,156496
exponential_lccdf,1024,8534,54458,82129
exponential_lpdf_data,2,150,319,4689927
exponential_lpdf_data,4,219,476,3197055
exponential_lpdf_data,8,348,768,2013460
exponential_lpdf_data,16,623,1374,1123657
exponential_lpdf_data,32,1117,2536,626014
exponential_lpdf_data,64,2133,4884,328208
exponential_lpdf_data,128,4205,9619,166566
exponential_lpdf_data,256,8310,19151,84265
exponential_lpdf_data,512,16446,37831,42550
exponential_lpdf_data,1024,32768,75053,21372
exponential_cdf_data,2,121,291,5816979
exponential_cdf_data,4,159,417,4376345
exponential_cdf_data,8,242,662,2890542
exponential_cdf_data,16,415,1163,1689354
exponential_cdf_data,32,719,2129,970786
exponential_cdf_data,64,1339,4064,521950
exponential_cdf_data,128,2613,8010,268162
exponential_cdf_data,256,5157,16034,136085
exponential_cdf_data,512,10199,31670,68670
exponential_cdf_data,1024,20228,62677,34553
exponential_lcdf_data,2,165,334,4244261
exponential_lcdf_data,4,266,523,2636860
exponential_lcdf_data,8,456,876,1538686
exponential_lcdf_data,16,857,1608,817441
exponential_lcdf_data,32,1625,3044,429621
exponential_lcdf_data,64,3176,5918,220116
exponential_lcdf_data,128,6305,11695,110967
exponential_lcdf_data,256,12622,23458,55550
exponential_lcdf_data,512,25065,46418,27916
exponential_lcdf_data,1024,49800,91978,14056
exponential_lccdf_data,2,84,253,8321388
exponential_lccdf_data,4,97,352,7250572
exponential_lccdf_data,8,136,552,5154629
exponential_lccdf_data,16,205,950,3401369
exponential_lccdf_data,32,307,1713,2278740
exponential_lccdf_data,64,538,3255,1298644
exponential_lccdf_data,128,994,6369,703650
exponential_lccdf_data,256,1905,12729,367933
exponential_lccdf_data,512,3691,25076,189645
exponential_lccdf_data,1024,7316,49469,95774
frechet_lpdf,2,480,742,1458056
frechet_lpdf,4,741,1148,942132
frechet_lpdf,8,1280,1952,547144
frechet_lpdf,16,2390,3621,292682
frechet_lpdf,32,4489,6809,155971
frechet_lpdf,64,8648,13134,80805
frechet_lpdf,128,16922,25696,41383
frechet_lpdf,256,33688,51207,20787
frechet_lpdf,512,66894,101479,10480
frechet_lpdf,1024,133337,201927,5252
frechet_cdf,2,302,556,2314330
frechet_cdf,4,497,898,1408574
frechet_cdf,8,867,1529,808829
frechet_cdf,16,1618,2818,432251
frechet_cdf,32,3100,5379,226058
frechet_cdf,64,6037,10501,116110
frechet_cdf,128,11953,20731,58485
frechet_cdf,256,23878,41396,29327
frechet_cdf,512,47932,82468,14602
frechet_cdf,1024,95400,163963,7338
frechet_lcdf,2,272,526,2581681
frechet_lcdf,4,435,836,1611074
frechet_lcdf,8,738,1402,948658
frechet_lcdf,16,1359,2561,515178
frechet_lcdf,32,2558,4840,273522
frechet_lcdf,64,4998,9452,140107
frechet_lcdf,128,9894,18649,70709
frechet_lcdf,256,19725,37205,35522
frechet_lcdf,512,39382,73899,17767
frechet_lcdf,1024,78725,147227,8890
frechet_lccdf,2,362,617,1932689
frechet_lccdf,4,608,1009,1152267
frechet_lccdf,8,1083,1749,646694
frechet_lccdf,16,2053,3255,341308
frechet_lccdf,32,3961,6240,176512
frechet_lccdf,64,7802,12266,89761
frechet_lccdf,128,15556,24337,45017
frechet_lccdf,256,31103,48627,22525
frechet_lccdf,512,62031,96589,11286
frechet_lccdf,1024,123769,192239,5638
frechet_lpdf_data,2,444,697,1577559
frechet_lpdf_data,4,707,1099,991323
frechet_lpdf_data,8,1239,1884,564721
frechet_lpdf_data,16,2346,3525,298743
frechet_lpdf_data,32,4385,6605,159702
frechet_lpdf_data,64,8534,12793,81958
frechet_lpdf_data,128,16695,25035,41932
frechet_lpdf_data,256,33119,49779,21110
frechet_lpdf_data,512,65752,98581,10652
frechet_lpdf_data,1024,130796,195614,5334
frechet_cdf_data,2,272,520,2579245
frechet_cdf_data,4,466,855,1503063
frechet_cdf_data,8,821,1458,851110
frechet_cdf_data,16,1557,2710,450328
frechet_cdf_data,32,2988,5169,234186
frechet_cdf_data,64,5874,10107,119336
frechet_cdf_data,128,11704,20028,59653
frechet_cdf_data,256,23447,40105,29859
frechet_cdf_data,512,47087,79936,14882
frechet_cdf_data,1024,93216,158203,7499
frechet_lcdf_data,2,238,488,2943762
frechet_lcdf_data,4,398,786,1758180
frechet_lcdf_data,8,691,1330,1011966
frechet_lcdf_data,16,1297,2451,539509
frechet_lcdf_data,32,2458,4641,284585
frechet_lcdf_data,64,4820,9053,145367
frechet_lcdf_data,128,9556,17856,73201
frechet_lcdf_data,256,19148,35729,36579
frechet_lcdf_data,512,38144,70803,18346
frechet_lcdf_data,1024,75863,140687,9253
frechet_lccdf_data,2,326,574,2151663
frechet_lccdf_data,4,563,950,1243264
frechet_lccdf_data,8,1031,1669,678764
frechet_lccdf_data,16,1982,3134,353568
frechet_lccdf_data,32,3833,6015,182581
frechet_lccdf_data,64,7581,11820,92324
frechet_lccdf_data,128,15097,23420,46279
frechet_lccdf_data,256,30209,46820,23120
frechet_lccdf_data,512,60302,93033,11618
frechet_lccdf_data,1024,119849,184542,5842
ordered_cotrain,2,159,231,4416037
ordered_cotrain,4,199,297,3513823
ordered_cotrain,8,281,419,2489712
